Tip.name,Organism.name,forest,Weight.kg.m,Weight.kg.f
CM017348_Lynx_canadensis,Lynx canadensis,0,10.7,8.6
HM185183_Prionailurus_bengalensis,Prionailurus bengalensisa,0,2.3,1.6
JF357970_Panthera_tigris_sumatrae,Panthera tigris sumatrae,0,227,136
JF357972_Panthera_tigris_corbetti,Panthera tigris corbetti,0,227,136
KC834784_Panthera_leo_persica,Panthera leo persica,1,178,120
KF483864_Panthera_onca,Panthera onca,0,91,62
KJ508413_Panthera_tigris,Panthera tigris tigris,0,227,136
KJ866876_Panthera_pardus_japonensis,Panthera pardus japonensis,0,47,38
KM236783_Panthera_onca,Panthera onca,0,91,62
KP001494_Panthera_leo,Panthera leo leo,1,178,120
KP001495_Panthera_leo,Panthera leo leo,1,178,120
KP001507_Panthera_pardus,Panthera pardus pardus,0,47,38
KP202261_Puma_concolor,Puma concolor,0,58,47
KP202263_Pardofelis_marmorata,Pardofelis marmorata,0,2.9,2.9
KP202269_Panthera_uncia,Panthera uncia,0,45,40
KP202271_Acinonyx_jubatus,Acinonyx jubatus,1,47,39
KP202272_Caracal_caracal,Caracal caracal,0,13.2,10.1
KP202273_Felis_silvestris_bieti,Felis silvestris bietis,1,4.8,3.9
KP202275_Felis_silvestris_lybica,Felis silvestris lybica,1,4.8,3.9
KP202277_Felis_nigripes,Felis nigripes,1,1.8,1.23
KP202279_Puma_yagouaroundi,Puma yagouaroundi,0,5.6,4.6
KP202282_Leopardus_colocolo,Leopardus colocolo,0,2.9,2.9
KP202284_Leopardus_pardalis,Leopardus pardalis,0,10.8,8.6
KP202285_Lynx_rufus,Lynx rufus,0,10.3,7.6
KP202286_Leptailurus_serval,Leptailurus serval,0,11.2,9.4
KP202287_Leopardus_tigrinus_CA,Leopardus tigrinus_CA,0,2.6,2.2
KP202288_Leopardus_tigrinus_SA,Leopardus tigrinus_SA,0,2.6,2.2
KP202289_Leopardus_wiedii,Leopardus wiedii,0,3.8,2.8
KP202291_Neofelis_nebulosa,Neofelis nebulosa,0,23,14
KP202292_Leopardus_geoffroyi,Leopardus geoffroyi,0,4.9,3.8
KP202293_Leopardus_guigna,Leopardus guigna,0,2.3,1.5
KP202294_Leopardus_jacobita,Leopardus jacobita,1,4,4
KP202295_Otocolobus_manul,Otocolobus manul,1,4.3,3
KP271500_Catopuma_temminckii,Catopuma temminckii,0,14.9,8.5
KR132580_Felis_margarita,Felis margarita,1,2.7,2.2
KR132581_Lynx_lynx,Lynx lynx,0,21.3,16.8
KR135742_Prionailurus_viverrinus,Prionailurus viverrinus,1,15.3,7.8
KR135743_Prionailurus_planiceps,Prionailurus planiceps,0,1.9,1.7
KR135744_Prionailurus_rubiginosus,Prionailurus rubiginosus,0,1,0.9
KT288227_Pardofelis_marmorata,Pardofelis marmorata,0,2.9,2.9
KU234271_Panthera_leo_persica,Panthera leo persica,1,178,120
KX258451_Panthera_spelaea,Panthera leo spelaea,1,178,120
KX258452_Panthera_spelaea,Panthera leo spelaea,1,178,120
KX265095_Catopuma_badia,Catopuma badia,0,3.5,3.5
KX911367_Lynx_pardinus,Lynx pardinus,0,12.3,9.4
MH124079_Panthera_tigris_altaica,Panthera tigris altaica,0,227,136
U20753_Felis_catus,Felis catus,0,5,4
NC_028299_Profelis_aurata,Profelis aurata,0,9.7,8.5
NC_028307_Felis_chaus,Felis chaus,0,8.6,5.4
